# Auto-generated by emojicon.py using CLDR v45
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;grinsendes Gesicht;Gesicht|grinsendes Gesicht|lol|lustig
😃;grinsendes Gesicht mit großen Augen;Gesicht|grinsendes Gesicht mit großen Augen|lächeln|lol|lustig
😄;grinsendes Gesicht mit lachenden Augen;Gesicht|grinsendes Gesicht mit lachenden Augen|lol|lustig
😁;strahlendes Gesicht mit lachenden Augen;Gesicht|lustig|strahlendes Gesicht mit lachenden Augen|Zähne
😆;Grinsegesicht mit zugekniffenen Augen;geschlossene Augen|Gesicht|Grinsegesicht mit zugekniffenen Augen|grinsendes Gesicht mit zusammengekniffenen Augen|offener Mund
😅;grinsendes Gesicht mit Schweißtropfen;Gesicht|grinsendes Gesicht mit Schweißtropfen|lustig|Schweiß|schwitzen
🤣;sich vor Lachen auf dem Boden wälzen;Gesicht|lachen|sich vor Lachen auf dem Boden wälzen
😂;Gesicht mit Freudentränen;Gesicht|Gesicht mit Freudentränen|lachen|Tränen
🙂;leicht lächelndes Gesicht;Gesicht|Lächeln|lächelnd|leicht lächelndes Gesicht
🙃;umgekehrtes Gesicht;auf dem Kopf stehen|Gesicht|umgekehrtes Gesicht
🫠;schmelzendes Gesicht;auflösen|flüssig|Gesicht|schmelzen|schmelzendes Gesicht|verschwinden
😉;zwinkerndes Gesicht;Gesicht|Zwinkern|zwinkerndes Gesicht
😊;lächelndes Gesicht mit lachenden Augen;erröten|Freude|Gesicht|lächelndes Gesicht mit lachenden Augen|rote Wangen
😇;lächelndes Gesicht mit Heiligenschein;Gesicht|Heiligenschein|Lächeln|lächelndes Gesicht mit Heiligenschein
🥰;lächelndes Gesicht mit Herzen;anhimmeln|lächelndes Gesicht mit Herzen|verknallt|verliebt
😍;lächelndes Gesicht mit herzförmigen Augen;Gesicht|lächelndes Gesicht mit herzförmigen Augen|verliebt
🤩;überwältigt;Augen|Gesicht|Grinsen|Stern|überwältigt
😘;Kuss zuwerfendes Gesicht;Gesicht|Kuss|Kuss zuwerfendes Gesicht
😗;küssendes Gesicht;Gesicht|Kuss|küssendes Gesicht
☺️;lächelndes Gesicht;fröhlich|Lächeln|lächelnd|lächelndes Gesicht
😚;küssendes Gesicht mit geschlossenen Augen;Gesicht|küssendes Gesicht mit geschlossenen Augen|rote Wangen
😙;küssendes Gesicht mit lächelnden Augen;Gesicht|Kuss|küssendes Gesicht mit lächelnden Augen|lächelnde Augen
🥲;lachendes Gesicht mit Träne;berührt|dankbar|erleichtert|lächelnd|lachendes Gesicht mit Träne|stolz|Träne
😋;sich die Lippen leckendes Gesicht;Gesicht|lecker|leckeres Essen|sich die Lippen leckendes Gesicht
😛;Gesicht mit herausgestreckter Zunge;Gesicht|Gesicht mit herausgestreckter Zunge|herausgestreckte Zunge
😜;zwinkerndes Gesicht mit herausgestreckter Zunge;Gesicht|herausgestreckte Zunge|Zwinkern|zwinkerndes Gesicht mit herausgestreckter Zunge
🤪;irres Gesicht;Auge|groß|irres Gesicht|klein
😝;Gesicht mit herausgestreckter Zunge und zusammengekniffenen Augen;Gesicht|Gesicht mit herausgestreckter Zunge und zusammengekniffenen Augen|herausgestreckte Zunge
🤑;Gesicht mit Dollarzeichen;Geld|Gesicht|Gesicht mit Dollarzeichen|Zunge
🤗;Gesicht mit umarmenden Händen;Gesicht|Gesicht mit umarmenden Händen|umarmen|Umarmung
🤭;verlegen kicherndes Gesicht;Huch|verlegen kicherndes Gesicht
🫢;Gesicht mit offenen Augen und Hand über dem Mund;Erschrecken|Erstaunen|Gesicht|Gesicht mit offenen Augen und Hand über dem Mund|Überraschung|Unglauben|Verlegenheit
🫣;Gesicht mit durch die Finger linsendem Auge;gebannt|Gesicht|Gesicht mit durch die Finger linsendem Auge|linsen|spähen|starren
🤫;ermahnendes Gesicht;ermahnendes Gesicht|leise|pst
🤔;nachdenkendes Gesicht;Gesicht|nachdenken|nachdenkendes Gesicht|nachdenklich
🫡;salutierendes Gesicht;Aye|Gesicht|Militär|ok|Respekt|salutieren|salutierendes Gesicht
🤐;Gesicht mit Reißverschlussmund;Gesicht|Gesicht mit Reißverschlussmund|Mund|Reißverschluss
🤨;Gesicht mit hochgezogenen Augenbrauen;argwöhnisch|Gesicht mit hochgezogenen Augenbrauen|skeptisch
😐;neutrales Gesicht;Gesicht|kein Kommentar|neutrales Gesicht
😑;ausdrucksloses Gesicht;ausdrucksloses Gesicht|Gesicht|kein Kommentar
😶;Gesicht ohne Mund;Gesicht|Gesicht ohne Mund|kein Mund|sprachlos
🫥;gestricheltes Gesicht;deprimiert|Gesicht|gestricheltes Gesicht|introvertiert|unsichtbar|verschwinden|verstecken
😶‍🌫️;Gesicht in Wolken;geistesabwesend|Gesicht im Nebel|Gesicht in Wolken|Kopf in Wolken
😏;süffisant lächelndes Gesicht;Gesicht|süffisant lächelndes Gesicht
😒;verstimmtes Gesicht;Gesicht|unglücklich|verstimmtes Gesicht
🙄;Augen verdrehendes Gesicht;Augen verdrehen|Augen verdrehendes Gesicht|Gesicht
😬;Grimassen schneidendes Gesicht;Gesicht|Grimasse|Grimassen schneidendes Gesicht|Zähne
😮‍💨;Gesicht, das ausatmet;ausatmen|das ausatmet|erleichtert|Gesicht|Gesicht, das ausatmet|schnaufen
🤥;lügendes Gesicht;Gesicht|Lüge|lügendes Gesicht|Pinocchio-Nase
🫨;zitterndes Doppelgesicht;Erdbeben|Gesicht|Schock|zittern|zitterndes Doppelgesicht
🙂‍↔️;Kopfschütteln;Kopfschütteln|nein|Schütteln
🙂‍↕️;Kopfnicken;ja|Kopfnicken|Nicken
😌;erleichtertes Gesicht;erleichtert|erleichtertes Gesicht|geschlossene Augen|Gesicht
😔;nachdenkliches Gesicht;Gesicht|nachdenklich|nachdenkliches Gesicht
😪;schläfriges Gesicht;Gesicht|müde|schläfriges Gesicht
🤤;sabberndes Gesicht;Gesicht|sabbern|sabberndes Gesicht
😴;schlafendes Gesicht;Gesicht|schlafen|schlafendes Gesicht|schnarchen|zzz
😷;Gesicht mit Atemschutzmaske;Arzt|Gesicht|Gesicht mit Atemschutzmaske|Krankheit
🤒;Gesicht mit Fieberthermometer;Fieberthermometer|Gesicht|Gesicht mit Fieberthermometer|krank
🤕;Gesicht mit Kopfverband;Gesicht|Gesicht mit Kopfverband|Schmerzen|Verband|Verletzung
🤢;würgendes Gesicht;Erbrechen|Gesicht|Übelkeit|würgendes Gesicht
🤮;kotzendes Gesicht;kotzen|kotzendes Gesicht|krank
🤧;niesendes Gesicht;Gesicht|niesen|niesendes Gesicht
🥵;schwitzendes Gesicht;erhitzt|Fieber|heiß|Hitzschlag|schwitzen|schwitzendes Gesicht
🥶;frierendes Gesicht;Eiszapfen|frieren|frierendes Gesicht|Frostbeule|kalt
🥴;schwindeliges Gesicht;angetrunken|beschwipst|betrunken|schwindeliges Gesicht
😵;benommenes Gesicht;benommen|benommenes Gesicht|Gesicht
