# Auto-generated by emojicon.py using CLDR v45
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;grinning face;face|grin|grinning face
😃;grinning face with big eyes;face|grinning face with big eyes|mouth|open|smile
😄;grinning face with smiling eyes;eye|face|grinning face with smiling eyes|mouth|open|smile
😁;beaming face with smiling eyes;beaming face with smiling eyes|eye|face|grin|smile
😆;grinning squinting face;face|grinning squinting face|laugh|mouth|satisfied|smile
😅;grinning face with sweat;cold|face|grinning face with sweat|open|smile|sweat
🤣;rolling on the floor laughing;face|floor|laugh|rofl|rolling|rolling on the floor laughing|rotfl
😂;face with tears of joy;face|face with tears of joy|joy|laugh|tear
🙂;slightly smiling face;face|slightly smiling face|smile
🙃;upside-down face;face|upside-down
🫠;melting face;
😉;winking face;face|wink|winking face
😊;smiling face with smiling eyes;blush|eye|face|smile|smiling face with smiling eyes
😇;smiling face with halo;angel|face|fantasy|halo|innocent|smiling face with halo
🥰;smiling face with hearts;adore|crush|hearts|in love|smiling face with hearts
😍;smiling face with heart-eyes;eye|face|love|smile|smiling face with heart-eyes
🤩;star-struck;eyes|face|grinning|star|star-struck
😘;face blowing a kiss;face|face blowing a kiss|kiss
😗;kissing face;face|kiss|kissing face
☺️;smiling face;face|outlined|relaxed|smile|smiling face
😚;kissing face with closed eyes;closed|eye|face|kiss|kissing face with closed eyes
😙;kissing face with smiling eyes;eye|face|kiss|kissing face with smiling eyes|smile
🥲;smiling face with tear;grateful|proud|relieved|smiling|smiling face with tear|tear|touched
😋;face savoring food;delicious|face|face savoring food|savouring|smile|yum
😛;face with tongue;face|face with tongue|tongue
😜;winking face with tongue;eye|face|joke|tongue|wink|winking face with tongue
🤪;zany face;eye|goofy|large|small|zany face
😝;squinting face with tongue;eye|face|horrible|squinting face with tongue|taste|tongue
🤑;money-mouth face;face|money|money-mouth face|mouth
🤗;smiling face with open hands;face|hug|hugging|open hands|smiling face|smiling face with open hands
🤭;face with hand over mouth;face with hand over mouth|whoops
🫢;face with open eyes and hand over mouth;
🫣;face with peeking eye;
🤫;shushing face;quiet|shush|shushing face
🤔;thinking face;face|thinking
🫡;saluting face;
🤐;zipper-mouth face;face|mouth|zip|zipper|zipper-mouth face
🤨;face with raised eyebrow;distrust|face with raised eyebrow|skeptic
😐;neutral face;deadpan|face|meh|neutral
😑;expressionless face;expressionless|face|inexpressive|meh|unexpressive
😶;face without mouth;face|face without mouth|mouth|quiet|silent
🫥;dotted line face;
😶‍🌫️;face in clouds;
😏;smirking face;face|smirk|smirking face
😒;unamused face;face|unamused|unhappy
🙄;face with rolling eyes;eyeroll|eyes|face|face with rolling eyes|rolling
😬;grimacing face;face|grimace|grimacing face
😮‍💨;face exhaling;
🤥;lying face;face|lie|lying face|pinocchio
🫨;shaking face;
🙂‍↔️;head shaking horizontally;
🙂‍↕️;head shaking vertically;
😌;relieved face;face|relieved
😔;pensive face;dejected|face|pensive
😪;sleepy face;face|good night|sleep|sleepy face
🤤;drooling face;drooling|face
😴;sleeping face;face|good night|sleep|sleeping face|ZZZ
😷;face with medical mask;cold|doctor|face|face with medical mask|mask|sick
🤒;face with thermometer;face|face with thermometer|ill|sick|thermometer
🤕;face with head-bandage;bandage|face|face with head-bandage|hurt|injury
🤢;nauseated face;face|nauseated|vomit
