# Auto-generated by emojicon.py using CLDR v45
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;cara sonriendo;cara|cara sonriendo|divertido|feliz|sonrisa
😃;cara sonriendo con ojos grandes;cara|cara sonriendo con ojos grandes|divertido|risa|sonriendo
😄;cara sonriendo con ojos sonrientes;abierta|cara|cara sonriendo con ojos sonrientes|ojo|sonrisa
😁;cara radiante con ojos sonrientes;cara|cara radiante con ojos sonrientes|ojo|risa|sonrisa
😆;cara sonriendo con los ojos cerrados;abierta|boca|cara|cara sonriendo con los ojos cerrados|risa
😅;cara sonriendo con sudor frío;cara|cara sonriendo con sudor frío|frío|risa|sudor
🤣;cara revolviéndose de la risa;cara|cara revolviéndose de la risa|carcajada|ojos cerrados|risa
😂;cara llorando de risa;cara|cara llorando de risa|felicidad|lágrima|risa
🙂;cara sonriendo ligeramente;cara|cara sonriendo ligeramente|sonrisa
🙃;cara al revés;cara|cara al revés|revés
🫠;cara derritiéndose;calor|cara derritiéndose|derretido|derretirse|desaparecer|fundirse|líquido
😉;cara guiñando el ojo;cara|cara guiñando el ojo|guiño
😊;cara feliz con ojos sonrientes;cara|cara feliz con ojos sonrientes|ojo|rubor|sonrisa
😇;cara sonriendo con aureola;ángel|cara|cara sonriendo con aureola|halo|sonrisa
🥰;cara sonriendo con corazones;adorar|amor|cara sonriendo con corazones|corazones|enamorada|enamorado
😍;cara sonriendo con ojos de corazón;amor|cara|cara sonriendo con ojos de corazón|corazón|sonrisa
🤩;cara sonriendo con estrellas;cara|cara sonriendo con estrellas|estrellas|sonrisa
😘;cara lanzando un beso;beso|cara|cara lanzando un beso
😗;cara besando;beso|cara|cara besando
☺️;cara sonriente;cara|cara sonriente|contorno|relajado|sonrisa
😚;cara besando con los ojos cerrados;beso|cara|cara besando con los ojos cerrados|cerrado|ojo
😙;cara besando con ojos sonrientes;beso|cara|cara besando con ojos sonrientes|ojo|sonrisa
🥲;cara sonriente con lágrima;agradecido|aliviado|cara sonriente con lágrima|emocionado|lágrima|orgulloso|sonrisa
😋;cara saboreando comida;cara|cara saboreando comida|delicioso|hambre|rico
😛;cara sacando la lengua;cara|cara sacando la lengua|lengua
😜;cara sacando la lengua y guiñando un ojo;cara|cara sacando la lengua y guiñando un ojo|guiño|lengua|ojo
🤪;cara de loco;cara de loco|grande|ojo|pequeño
😝;cara con ojos cerrados y lengua fuera;cara|cara con ojos cerrados y lengua fuera|lengua|ojo|sabor
🤑;cara con lengua de dinero;boca|cara|cara con lengua de dinero|dinero
🤗;cara con manos abrazando;abrazo|cara|cara con manos abrazando|sonrisa
🤭;cara con mano sobre la boca;cara con mano sobre la boca|ostras|uy|vaya
🫢;cara con ojos abiertos y boca tapada;alucinar|asombro|cara con ojos abiertos y boca tapada|increíble|sorpresa|vergüenza
🫣;cara tapada con ojo espiando;cara tapada con ojo espiando|espiar|fascinado|mirar|vistazo
🤫;cara pidiendo silencio;callado|cara pidiendo silencio|silencio
🤔;cara pensativa;cara|cara pensativa|duda|pensando
🫡;cara saludando;cara saludando|ejército|orden|saludo|sí|sol|vale
🤐;cara con la boca cerrada con cremallera;boca|cara|cara con la boca cerrada con cremallera|cremallera
🤨;cara con ceja alzada;cara con ceja alzada|desconfiado|escéptico
😐;cara neutral;cara|inexpresivo|neutral
😑;cara sin expresión;cara|cara sin expresión|inexpresión|inexpresiva|inexpresivo
😶;cara sin boca;boca|callado|cara|cara sin boca|silencio
🫥;cara con línea de puntos;cara con línea de puntos|depresivo|deprimido|desaparecer|esconderse|introvertido|invisible
😶‍🌫️;cara entre las nubes;ausente|cabeza en las nubes|cara en la niebla|cara entre las nubes|en las nubes
😏;cara sonriendo con superioridad;cara|cara sonriendo con superioridad|listillo|superioridad
😒;cara de desaprobación;cara|cara de desaprobación|insatisfacción|rechazo
🙄;cara con ojos en blanco;cara|cara con ojos en blanco|frustración|ojos|vueltos
😬;cara haciendo una mueca;cara|cara haciendo una mueca|mueca
😮‍💨;cara exhalando;alivio|bocanada|cara exhalando|exhalar|jadear|resoplido|silbar
🤥;cara de mentiroso;cara|cara de mentiroso|mentiroso|nariz|pinocho
🫨;cara temblorosa;cara temblorosa|shock|temblar|terremoto|vibrar
🙂‍↔️;cabeza negando;cabeza moviéndose horizontalmente|cabeza negando|negar|no
🙂‍↕️;cabeza asintiendo;asentir|cabeza asintiendo|cabeza moviéndose verticalmente|sí
😌;cara de alivio;aliviado|cara|cara de alivio
😔;cara desanimada;alicaído|cara|cara desanimada|desanimado|pensativo
😪;cara de sueño;cara|cara de sueño|dormir|sueño
🤤;cara babeando;baba|babeando|cara
😴;cara durmiendo;cara|cara durmiendo|dormido|sueño|zzz
😷;cara con mascarilla médica;cara|cara con mascarilla médica|enfermo|malo|máscara
🤒;cara con termómetro;cara|cara con termómetro|enfermo|malo|termómetro
🤕;cara con la cabeza vendada;cara|cara con la cabeza vendada|dolor|herida|venda
🤢;cara de náuseas;cara|cara de náuseas|náuseas|vomitar
🤮;cara vomitando;cara vomitando|enfermo|malo|vomitar
🤧;cara estornudando;cara|cara estornudando|estornudar|estornudo|pañuelo
🥵;cara con calor;calor|cara con calor|cara roja|fiebre|golpe de calor|sudor
🥶;cara con frío;cara con frío|cara congelada|congelado|frío|helado
🥴;cara de grogui;atontado|cara de grogui|entonado|grogui|intoxicado|mareado
😵;cara mareada;cara|cara mareada|mareo
😵‍💫;cara con ojos en espiral;cara con ojos en espiral|espiral|hipnotizado|indispuesto|mareado|mareo|problema
🤯;cabeza explotando;cabeza|cabeza explotando|explosión
🤠;cara con sombrero de vaquero;cara|cara con sombrero de vaquero|sombrero|vaquera|vaquero
🥳;cara de fiesta;capirote|cara de fiesta|celebración|fiesta|gorro|matasuegras
🥸;cara disfrazada;cara disfrazada|careta|disfraz|disimulo|gafas|incógnito|nariz
😎;cara sonriendo con gafas de sol;cara|cara sonriendo con gafas de sol|gafas|guay|sol
🤓;cara de empollón;cara|cara de empollón|empollón|friki|friqui
🧐;cara con monóculo;aristocrático|cara con monóculo|estirado
😕;cara de confusión;cara|cara de confusión|confuso
🫤;cara con boca diagonal;cara con boca diagonal|decepción|decepcionado|escéptico|inseguro|jo|vaya
😟;cara preocupada;cara|cara preocupada|preocupación|preocupado
🙁;cara con el ceño ligeramente fruncido;cara|cara con el ceño ligeramente fruncido|ceño|fruncido
☹️;cara con el ceño fruncido;cara|cara con el ceño fruncido|ceño|fruncido
😮;cara con la boca abierta;boca|cara|cara con la boca abierta
😯;cara estupefacta;alucinado|cara|cara estupefacta|estupefacto|sorprendido
😲;cara asombrada;alucinado|asombrado|cara|cara asombrada|pasmado
😳;cara sonrojada;cara|cara sonrojada|colorado|sonrojado
🥺;cara suplicante;cara suplicante|implorar|ojos adorables|piedad|por favor
🥹;cara aguantándose las lágrimas;cara aguantándose las lágrimas|emoción|emocionado|llorar|orgulloso|resistir|triste
😦;cara con el ceño fruncido y la boca abierta;boca abierta|cara|cara con el ceño fruncido y la boca abierta|ceño fruncido con boca abierta
😧;cara angustiada;angustia|angustiado|cara|cara angustiada
😨;cara asustada;asustado|cara|cara asustada|miedo|miedoso
😰;cara con ansiedad y sudor;ansiedad|cara|cara con ansiedad y sudor|frío|sudor
😥;cara triste pero aliviada;aliviado|cara|cara triste pero aliviada|decepcionado|menos mal
😢;cara llorando;cara|cara llorando|lágrima|llorar|triste
😭;cara llorando fuerte;cara|cara llorando fuerte|lágrima|llorar|triste
😱;cara gritando de miedo;asustado|cara|cara gritando de miedo|miedo|pánico
😖;cara de frustración;cara|cara de frustración|frustrado
😣;cara desesperada;cara|cara desesperada|desesperación|frustración
😞;cara decepcionada;cara|cara decepcionada|decepción|decepcionado
😓;cara con sudor frío;cara|cara con sudor frío|frío|sudor
😩;cara agotada;agotado|cansado|cara|cara agotada
😫;cara cansada;cansado|cara|cara cansada
🥱;cara de bostezo;aburrido|bostezo|cansado|cara de bostezo|dormido|sueño
😤;cara resoplando;cabreo|cara|cara resoplando|enfado
😡;cara cabreada;cabreo|cara|cara cabreada|enfadado|furia
😠;cara enfadada;cara|cara enfadada|enfadado|histérico
🤬;cara con símbolos en la boca;cara con símbolos en la boca|maldecir|palabrota|símbolo
😈;cara sonriendo con cuernos;cara|cara sonriendo con cuernos|cuernos|demonio|sonrisa
👿;cara enfadada con cuernos;cara|cara enfadada con cuernos|cuernos|demonio|diablo
💀;calavera;calavera|cara|cuento|monstruo|muerte
☠️;calavera y huesos cruzados;calavera|calavera y huesos cruzados|cara|huesos|muerte
💩;caca con ojos;caca|caca con ojos|cómic|mierda|mojón
🤡;cara de payaso;cara|cara de payaso|payaso
👹;demonio japonés oni;cara|cuento|cuernos|demonio japonés oni|sonrisa
👺;demonio japonés tengu;cara|cuento|demonio japonés tengu|fantasía|monstruo|tengu
👻;fantasma;cara|criatura|cuento|fantasma|monstruo
👽;alienígena;alien|alienígena|cara|criatura|extraterrestre|ovni
👾;monstruo alienígena;alien|cara|criatura|extraterrestre|monstruo alienígena|ovni
🤖;robot;cara|monstruo|robot
😺;gato sonriendo;cara|feliz|gato alegre|gato feliz|gato sonriendo|sonrisa
😸;gato sonriendo con ojos sonrientes;cara|gato|gato sonriendo con ojos sonrientes|ojos|sonriente|sonrisa
😹;gato llorando de risa;cara|gato|gato llorando de risa|lágrima|risa
😻;gato sonriendo con ojos de corazón;cara|corazón|enamorado|gato|gato sonriendo con ojos de corazón
😼;gato haciendo una mueca;cara|gato|gato haciendo una mueca|irónico|sonrisa
😽;gato besando;beso|cara|cariñoso|gato|gato besando
🙀;gato asustado;cara|gato|gato asustado|pánico|preocupación|sorpresa
😿;gato llorando;cara|gato|gato llorando|lágrima|pena|triste
😾;gato enfadado;cara|enfadado|gato
🙈;mono con los ojos tapados;cara|mal|mono|mono con los ojos tapados|prohibido
🙉;mono con los oídos tapados;cara|mal|mono|mono con los oídos tapados|prohibido
🙊;mono con la boca tapada;cara|mal|mono|mono con la boca tapada|prohibido
💌;carta de amor;amor|carta|carta de amor|corazón|correo
💘;corazón con flecha;amor|corazón|corazón con flecha|emoción|flecha
💝;corazón con lazo;corazón|corazón con lazo|emoción|lazo|san valentín
💖;corazón brillante;amor|brillante|corazón brillante|emoción
💗;corazón creciente;corazón|creciente|emocionado|latido|nervioso
💓;corazón latiendo;amor|corazón|corazón latiendo|emoción|latido
💞;corazones giratorios;corazón|corazones giratorios|giratorio
💕;dos corazones;amantes|amor|corazón|dos corazones
💟;adorno de corazón;adorno de corazón|corazón
❣️;exclamación de corazón;corazón|exclamación|exclamación de corazón|puntuación
💔;corazón roto;corazón|emoción|partido|roto
❤️‍🔥;corazón en llamas;amor|corazón|corazón en llamas|fuego|llamas|lujuria|pasión
❤️‍🩹;corazón vendado;bien|corazón vendado|curarse|mejor|mejorar|recuperación|salud
❤️;corazón rojo;corazón|emoción|rojo
🩷;corazón rosa;amor|bonito|corazón|gustar|rosa
🧡;corazón naranja;corazón|emoción|naranja
💛;corazón amarillo;amarillo|corazón|emoción
💚;corazón verde;corazón|emoción|verde
💙;corazón azul;azul|corazón|emoción
🩵;corazón azul claro;azul|celeste|cián|claro|corazón
💜;corazón morado;corazón|emoción|morado
🤎;corazón marrón;corazón|emoción|marrón
🖤;corazón negro;corazón|negro
🩶;corazón gris;corazón|gris|pizarra|plata
🤍;corazón blanco;blanco|corazón|emoción
💋;marca de beso;beso|labios|marca de beso|romance
💯;cien puntos;100|cien puntos|pleno|puntos
💢;símbolo de enfado;cómic|enfadado|enfado|símbolo de enfado
💥;colisión;colisión|cómic
💫;símbolo de mareo;cómic|emoción|estrella|mareo|símbolo de mareo
💦;gotas de sudor;cómic|emoción|gotas de sudor|sudor
💨;salir corriendo;carrera|cómic|correr|humo|salir corriendo
🕳️;agujero;agujero|orificio
💬;bocadillo de diálogo;bocadillo|bocadillo de diálogo|cómic|conversación|diálogo
👁️‍🗨️;ojo en bocadillo de texto;bocadillo de texto|ojo|ojo en bocadillo de texto|testigo
🗨️;bocadillo de diálogo por la izquierda;bocadillo|bocadillo de diálogo por la izquierda|burbuja|conversación|diálogo
🗯️;bocadillo de enfado por la derecha;bocadillo|bocadillo de enfado por la derecha|cabreo|enfado|rabia
💭;bocadillo de pensamiento;bocadillo|bocadillo de pensamiento|burbuja|cómic|pensamiento
💤;símbolo de sueño;cómic|dormir|símbolo de sueño|sueño|zzz

[people_body]
👋;mano saludando;agitar|mano|mano saludando|saludar|saludo
	👋🏻;mano saludando: tono de piel claro;agitar|mano|mano saludando|mano saludando: tono de piel claro|saludar|saludo|tono de piel claro
	👋🏼;mano saludando: tono de piel claro medio;agitar|mano|mano saludando|mano saludando: tono de piel claro medio|saludar|saludo|tono de piel claro medio
