# Auto-generated by emojicon.py using CLDR v45
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;faccina con un gran sorriso;faccina|faccina che sogghigna|faccina con un gran sorriso|risata|sogghignare
😃;faccina con un gran sorriso e occhi spalancati;faccina|faccina con un gran sorriso e occhi spalancati|faccina sorridente|risata|sorridere
😄;faccina con sorriso e occhi sorridenti;bocca aperta|faccina con sorriso e occhi sorridenti|faccina con un gran sorriso e occhi sorridenti|occhi felici|risata|sorriso
😁;faccina raggiante con occhi felici;faccina|faccina raggiante con occhi felici|occhi felici|risata|sogghignare
😆;sorriso a bocca aperta con occhi chiusi;bocca aperta|occhi chiusi|sorriso|sorriso a bocca aperta con occhi chiusi
😅;faccina con un gran sorriso e goccia di sudore;faccina con un gran sorriso e goccia di sudore|goccia|sorriso teso|sudore
🤣;ridere a crepapelle;crepapelle|ridere|ridere a crepapelle
😂;faccina con lacrime di gioia;faccina|faccina con lacrime di gioia|gioia|lacrime|piangere dal ridere
🙂;faccina con sorriso accennato;faccina con sorriso accennato|mezzo sorriso|sorriso|sorriso a bocca chiusa
🙃;faccina sottosopra;capovolta|faccina|scombussolata|sottosopra
🫠;faccina che si scioglie;dissolversi|faccina che si scioglie|liquefarsi|liquido|sciogliersi|sparire|squagliarsi
😉;faccina che fa l’occhiolino;faccina|faccina che fa l’occhiolino|fare l’occhiolino
😊;faccina con occhi sorridenti;faccina|faccina con occhi sorridenti|felice|occhi sorridenti|sorriso
😇;faccina con sorriso e aureola;angioletto|aureola|faccina|faccina con sorriso e aureola|faccina sorridente con aureola
🥰;faccina con cuoricini;adorazione|colpo di fulmine|faccina con cuoricini|faccina innamorata
😍;faccina con sorriso e occhi a cuore;amore|cuore|faccina|faccina con sorriso e occhi a cuore
🤩;colpo di fulmine;colpo di fulmine|faccia sorridente|occhi|stelline
😘;faccina che manda un bacio;baci|faccina|faccina che manda baci|faccina che manda un bacio
😗;faccina che bacia;faccina|faccina che bacia|faccina che dà bacio
☺️;faccina sorridente;delineata|faccina|rilassata|sorridente
😚;faccina che bacia con occhi chiusi;baciare|bacio|faccina|faccina che bacia con occhi chiusi|occhi chiusi
😙;faccina che bacia con occhi sorridenti;faccina|faccina che bacia con occhi sorridenti|faccina che manda baci|faccina sorridente
🥲;faccina sorridente con lacrima;emozionato|faccina sorridente con lacrima|grato|lacrima|orgoglioso|rincuorato|sorridente
